brkQ,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,runtime,parity,genseed,errmetrics,rmse,mae,PredictMethod,L,int_fraction,nints,numnonints,r,barytol,inttol,nnMax,nn_mae,nn_rmse,barytype,barypars
1,avg,0.0001,0,15-Oct-2020 16:41:23,5000,10000,12,ff65e3f,73b569d1,5dof,5dof,1,0.000666,,1129618194,,0.128614862680091,0.0968010819147877,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:38:27,5000,10000,12,ff65e3f,4236b751,5dof,5dof,1,0.001146,,1129600359,,0.128614862680091,0.0968010819147877,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:39:53,5000,10000,12,ff65e3f,5034c5b2,5dof,5dof,1,0.000613,,1129608777,,0.128614862680091,0.0968010819147877,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:41,5000,10000,12,ff65e3f,622ce76f,5dof,5dof,1,0.001354,,1129590067,,0.128614862680091,0.0968010819147877,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:38:28,5000,10000,12,ff65e3f,5f2af04c,5dof,5dof,1,0.000898,,1129600367,,0.128614862680091,0.0968010819147877,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:35:54,500,10000,12,ff65e3f,853d48b5,5dof,5dof,1,0.003242,,1129585388,,0.129942945439668,0.0953215459209216,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:58,500,10000,12,ff65e3f,f4f61549,5dof,5dof,1,0.006417,,1129591012,,0.127920383449566,0.0960114073035669,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:28,500,10000,12,ff65e3f,2002fa4c,5dof,5dof,1,0.004813,,1129587724,,0.129942945439668,0.0953215459209216,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:39:45,500,10000,12,ff65e3f,21257c7f,5dof,5dof,1,0.0014,,1129607953,,0.127920383449566,0.0960114073035669,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:35:57,500,10000,12,ff65e3f,341e50d8,5dof,5dof,1,0.002965,,1129585554,,0.129942945439668,0.0953215459209216,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:37:32,500,10000,12,ff65e3f,bd71af5a,5dof,5dof,1,0.002854,,1129594674,,0.127920383449566,0.0960114073035669,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:41:42,500,10000,12,ff65e3f,e0464824,5dof,5dof,1,0.00103,,1129620310,,0.127920383449566,0.0960114073035669,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:37:03,500,10000,12,ff65e3f,d37d91b8,5dof,5dof,1,0.003712,,1129591229,,0.127920383449566,0.0960114073035669,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:39:11,500,10000,12,ff65e3f,16e2ddc2,5dof,5dof,1,0.000699,,1129605032,,0.127920383449566,0.0960114073035669,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:38:48,500,10000,12,ff65e3f,aa73db95,5dof,5dof,1,0.00281,,1129602761,,0.127920383449566,0.0960114073035669,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:36:43,10000,10000,12,ff65e3f,bf7ef940,5dof,5dof,0,8.967692,,1129587842,,0.0556462910405934,0.0388889952472313,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:37:30,10000,10000,12,ff65e3f,3d4cd1ab,5dof,5dof,0,8.248362,,1129593606,,0.0555922347021078,0.0389119948939379,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:42:25,10000,10000,12,ff65e3f,e98f1008,5dof,5dof,0,9.740913,,1129623231,,0.0561190007290745,0.0394927572552795,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
