ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  7     26.56   73.40   63.44    0.824439e+02   -0.823774e+02    0.134235e+04
  7     26.56   73.40   63.44    0.747523e+02   -0.690948e+02    0.137549e+04
  7     26.56   73.40   63.44    0.464867e+02   -0.118340e+03    0.130267e+04
  7     26.56   73.40   63.44    0.615913e+02   -0.118933e+03    0.128030e+04
  7     26.56   73.40   63.44    0.464867e+02   -0.616600e+02    0.134460e+04
  7     26.56   73.40   63.44    0.615913e+02   -0.610668e+02    0.138716e+04
  7     26.56   73.40   63.44    0.317175e+02    0.000000e+00    0.128044e+04
  7     26.56   73.40   63.44    0.317175e+02    0.180000e+03    0.127446e+04
  7     26.56   73.40   63.44    0.900000e+02    0.317175e+02    0.127446e+04
  7     26.56   73.40   63.44    0.900000e+02   -0.317175e+02    0.128044e+04
  7     26.56   73.40   63.44    0.582825e+02    0.900000e+02    0.128044e+04
  7     26.56   73.40   63.44    0.582825e+02   -0.900000e+02    0.127446e+04
  7     26.56   73.40   63.44    0.209052e+02    0.900000e+02    0.131098e+04
  7     26.56   73.40   63.44    0.209052e+02   -0.900000e+02    0.131245e+04
  7     26.56   73.40   63.44    0.690948e+02    0.000000e+00    0.131098e+04
  7     26.56   73.40   63.44    0.690948e+02    0.180000e+03    0.131245e+04
  7     26.56   73.40   63.44    0.900000e+02    0.690948e+02    0.131245e+04
  7     26.56   73.40   63.44    0.900000e+02   -0.690948e+02    0.131098e+04
  7     26.56   73.40   63.44    0.547356e+02    0.450000e+02    0.120250e+04
  7     26.56   73.40   63.44    0.547356e+02   -0.135000e+03    0.126229e+04
  7     26.56   73.40   63.44    0.547356e+02   -0.450000e+02    0.120250e+04
  7     26.56   73.40   63.44    0.547356e+02    0.135000e+03    0.120257e+04
  7     26.56   73.40   63.44    0.100000e-05    0.000000e+00    0.108192e+04
  7     26.56   73.40   63.44    0.900000e+02    0.000000e+00    0.108192e+04
  7     26.56   73.40   63.44    0.900000e+02    0.900000e+02    0.108192e+04
  7     26.56   73.40   63.44    0.360000e+02    0.582825e+02    0.110422e+04
  7     26.56   73.40   63.44    0.360000e+02   -0.121717e+03    0.127292e+04
  7     26.56   73.40   63.44    0.360000e+02   -0.582825e+02    0.134608e+04
  7     26.56   73.40   63.44    0.360000e+02    0.121717e+03    0.136121e+04
  7     26.56   73.40   63.44    0.600000e+02    0.209052e+02    0.136121e+04
  7     26.56   73.40   63.44    0.600000e+02   -0.159095e+03    0.127130e+04
  7     26.56   73.40   63.44    0.600000e+02   -0.209052e+02    0.110422e+04
  7     26.56   73.40   63.44    0.600000e+02    0.159095e+03    0.135143e+04
  7     26.56   73.40   63.44    0.720000e+02    0.582825e+02    0.135375e+04
  7     26.56   73.40   63.44    0.720000e+02   -0.121717e+03    0.127292e+04
  7     26.56   73.40   63.44    0.720000e+02   -0.582825e+02    0.136142e+04
  7     26.56   73.40   63.44    0.720000e+02    0.121717e+03    0.110415e+04
  9     26.56   83.62   26.56    0.107173e+02    0.450000e+02    0.941918e+03
  9     26.56   83.62   26.56    0.256722e+02    0.526226e+02    0.787218e+03
  9     26.56   83.62   26.56    0.107173e+02   -0.450000e+02    0.110661e+04
  9     26.56   83.62   26.56    0.256722e+02   -0.526226e+02    0.115951e+04
  9     26.56   83.62   26.56    0.561496e+02    0.911025e+01    0.111076e+04
  9     26.56   83.62   26.56    0.561496e+02   -0.911025e+01    0.117077e+04
  9     26.56   83.62   26.56    0.396648e+02    0.418103e+02    0.866151e+03
  9     26.56   83.62   26.56    0.503352e+02    0.265651e+02    0.946913e+03
  9     26.56   83.62   26.56    0.396648e+02   -0.418103e+02    0.118174e+04
  9     26.56   83.62   26.56    0.503352e+02   -0.265651e+02    0.119103e+04
  9     26.56   83.62   26.56    0.107173e+02   -0.135000e+03    0.105363e+04
  9     26.56   83.62   26.56    0.256722e+02   -0.127377e+03    0.108543e+04
  9     26.56   83.62   26.56    0.107173e+02    0.135000e+03    0.872694e+03
  9     26.56   83.62   26.56    0.256722e+02    0.127377e+03    0.827107e+03
  9     26.56   83.62   26.56    0.561496e+02   -0.170890e+03    0.114593e+04
  9     26.56   83.62   26.56    0.561496e+02    0.170890e+03    0.115635e+04
  9     26.56   83.62   26.56    0.396648e+02   -0.138190e+03    0.115719e+04
  9     26.56   83.62   26.56    0.503352e+02   -0.153435e+03    0.115346e+04
  9     26.56   83.62   26.56    0.396648e+02    0.138190e+03    0.819157e+03
  9     26.56   83.62   26.56    0.503352e+02    0.153435e+03    0.971395e+03
  9     26.56   83.62   26.56    0.824439e+02    0.762263e+01    0.131562e+04
  9     26.56   83.62   26.56    0.698633e+02    0.162670e+02    0.118533e+04
  9     26.56   83.62   26.56    0.824439e+02   -0.172377e+03    0.124119e+04
  9     26.56   83.62   26.56    0.698633e+02   -0.163733e+03    0.122958e+04
  9     26.56   83.62   26.56    0.824439e+02    0.558123e+02    0.105652e+04
  9     26.56   83.62   26.56    0.824439e+02   -0.124188e+03    0.105975e+04
  9     26.56   83.62   26.56    0.648158e+02    0.317175e+02    0.101339e+04
