ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  7     26.56   73.40   63.44    0.747523D+02   -0.690948D+02    0.137549D+04
  7     26.56   73.40   63.44    0.464867D+02   -0.118340D+03    0.130267D+04
  7     26.56   73.40   63.44    0.615913D+02   -0.118933D+03    0.128030D+04
  7     26.56   73.40   63.44    0.464867D+02   -0.616600D+02    0.134460D+04
  7     26.56   73.40   63.44    0.615913D+02   -0.610668D+02    0.138716D+04
  7     26.56   73.40   63.44    0.317175D+02    0.000000D+00    0.128044D+04
  7     26.56   73.40   63.44    0.317175D+02    0.180000D+03    0.127446D+04
  7     26.56   73.40   63.44    0.900000D+02    0.317175D+02    0.127446D+04
  7     26.56   73.40   63.44    0.900000D+02   -0.317175D+02    0.128044D+04
  7     26.56   73.40   63.44    0.582825D+02    0.900000D+02    0.128044D+04
  7     26.56   73.40   63.44    0.582825D+02   -0.900000D+02    0.127446D+04
  7     26.56   73.40   63.44    0.209052D+02    0.900000D+02    0.131098D+04
  7     26.56   73.40   63.44    0.209052D+02   -0.900000D+02    0.131245D+04
  7     26.56   73.40   63.44    0.690948D+02    0.000000D+00    0.131098D+04
  7     26.56   73.40   63.44    0.690948D+02    0.180000D+03    0.131245D+04
  7     26.56   73.40   63.44    0.900000D+02    0.690948D+02    0.131245D+04
  7     26.56   73.40   63.44    0.900000D+02   -0.690948D+02    0.131098D+04
  7     26.56   73.40   63.44    0.547356D+02    0.450000D+02    0.120250D+04
  7     26.56   73.40   63.44    0.547356D+02   -0.135000D+03    0.126229D+04
  7     26.56   73.40   63.44    0.547356D+02   -0.450000D+02    0.120250D+04
  7     26.56   73.40   63.44    0.547356D+02    0.135000D+03    0.120257D+04
  7     26.56   73.40   63.44    0.100000D-05    0.000000D+00    0.108192D+04
  7     26.56   73.40   63.44    0.900000D+02    0.000000D+00    0.108192D+04
  7     26.56   73.40   63.44    0.900000D+02    0.900000D+02    0.108192D+04
  7     26.56   73.40   63.44    0.360000D+02    0.582825D+02    0.110422D+04
  7     26.56   73.40   63.44    0.360000D+02   -0.121717D+03    0.127292D+04
  7     26.56   73.40   63.44    0.360000D+02   -0.582825D+02    0.134608D+04
  7     26.56   73.40   63.44    0.360000D+02    0.121717D+03    0.136121D+04
  7     26.56   73.40   63.44    0.600000D+02    0.209052D+02    0.136121D+04
  7     26.56   73.40   63.44    0.600000D+02   -0.159095D+03    0.127130D+04
  7     26.56   73.40   63.44    0.600000D+02   -0.209052D+02    0.110422D+04
  7     26.56   73.40   63.44    0.600000D+02    0.159095D+03    0.135143D+04
  7     26.56   73.40   63.44    0.720000D+02    0.582825D+02    0.135375D+04
  7     26.56   73.40   63.44    0.720000D+02   -0.121717D+03    0.127292D+04
  7     26.56   73.40   63.44    0.720000D+02   -0.582825D+02    0.136142D+04
  7     26.56   73.40   63.44    0.720000D+02    0.121717D+03    0.110415D+04
  9     26.56   83.62   26.56    0.107173D+02    0.450000D+02    0.941918D+03
  9     26.56   83.62   26.56    0.256722D+02    0.526226D+02    0.787218D+03
  9     26.56   83.62   26.56    0.107173D+02   -0.450000D+02    0.110661D+04
  9     26.56   83.62   26.56    0.256722D+02   -0.526226D+02    0.115951D+04
  9     26.56   83.62   26.56    0.561496D+02    0.911025D+01    0.111076D+04
  9     26.56   83.62   26.56    0.561496D+02   -0.911025D+01    0.117077D+04
  9     26.56   83.62   26.56    0.396648D+02    0.418103D+02    0.866151D+03
  9     26.56   83.62   26.56    0.503352D+02    0.265651D+02    0.946913D+03
  9     26.56   83.62   26.56    0.396648D+02   -0.418103D+02    0.118174D+04
  9     26.56   83.62   26.56    0.503352D+02   -0.265651D+02    0.119103D+04
  9     26.56   83.62   26.56    0.107173D+02   -0.135000D+03    0.105363D+04
  9     26.56   83.62   26.56    0.256722D+02   -0.127377D+03    0.108543D+04
  9     26.56   83.62   26.56    0.107173D+02    0.135000D+03    0.872694D+03
  9     26.56   83.62   26.56    0.256722D+02    0.127377D+03    0.827107D+03
  9     26.56   83.62   26.56    0.561496D+02   -0.170890D+03    0.114593D+04
  9     26.56   83.62   26.56    0.561496D+02    0.170890D+03    0.115635D+04
  9     26.56   83.62   26.56    0.396648D+02   -0.138190D+03    0.115719D+04
  9     26.56   83.62   26.56    0.503352D+02   -0.153435D+03    0.115346D+04
  9     26.56   83.62   26.56    0.396648D+02    0.138190D+03    0.819157D+03
  9     26.56   83.62   26.56    0.503352D+02    0.153435D+03    0.971395D+03
  9     26.56   83.62   26.56    0.824439D+02    0.762263D+01    0.131562D+04
  9     26.56   83.62   26.56    0.698633D+02    0.162670D+02    0.118533D+04
  9     26.56   83.62   26.56    0.824439D+02   -0.172377D+03    0.124119D+04
  9     26.56   83.62   26.56    0.698633D+02   -0.163733D+03    0.122958D+04
  9     26.56   83.62   26.56    0.824439D+02    0.558123D+02    0.105652D+04
  9     26.56   83.62   26.56    0.824439D+02   -0.124188D+03    0.105975D+04
  9     26.56   83.62   26.56    0.648158D+02    0.317175D+02    0.101339D+04
  9     26.56   83.62   26.56    0.698633D+02    0.471679D+02    0.995384D+03
  9     26.56   83.62   26.56    0.648158D+02   -0.148283D+03    0.125666D+04
  9     26.56   83.62   26.56    0.698633D+02   -0.132832D+03    0.115515D+04
  9     26.56   83.62   26.56    0.824439D+02   -0.762263D+01    0.128825D+04
  9     26.56   83.62   26.56    0.698633D+02   -0.162670D+02    0.125645D+04
  9     26.56   83.62   26.56    0.824439D+02    0.172377D+03    0.130345D+04
  9     26.56   83.62   26.56    0.698633D+02    0.163733D+03    0.113735D+04
  9     26.56   83.62   26.56    0.824439D+02   -0.558123D+02    0.110998D+04
  9     26.56   83.62   26.56    0.824439D+02    0.124188D+03    0.109402D+04
  9     26.56   83.62   26.56    0.648158D+02   -0.317175D+02    0.136557D+04
  9     26.56   83.62   26.56    0.698633D+02   -0.471679D+02    0.122262D+04
