GB_index,Sigma,Misorientation_Index,L11,L12,L13,R11,R12,R13,L21,L22,L23,R21,R22,R23,L31,L32,L33,R31,R32,R33,t1,t2,t3,cos,disorientation,h1,k1,l1,h2,k2,l2,ytilt,ztilt,DSC11,DSC12,DSC13,DSC21,DSC22,DSC23,DSC31,DSC32,DSC33,CSL11,CSL12,CSL13,CSL21,CSL22,CSL23,CSL31,CSL32
79,21,20,3,2,1,3,2,-1,1,-2,1,1,-2,-1,4,-2,-8,-4,2,-8,2,1,0,0.523809524,58.4119,3,2,1,3,2,1,0,0,0.142857143,-0.571428571,-1.285714286,0.19047619,-0.095238095,-0.380952381,-1.238095238,0.619047619,3.476190476,-2,-4,0,-1,4,9,-3,-1
80,3,2,3,2,1,3,2,-1,1,-2,1,-1,2,1,4,-2,-8,4,-2,8,1,1,0,0.333333333,70.5288,3,2,1,3,2,1,0,0,1,-1,0,0.333333333,-0.666666667,0.333333333,1.666666667,-3.333333333,-0.333333333,4,2,0,1,0,-1,-4,-1
81,21,20,2,1,1,2,1,1,2,-3,-1,2,-1,-3,2,4,-8,-2,8,-4,2,1,0,0.523809524,58.4119,2,1,1,2,1,1,0,0,-0.523809524,0.952380952,-0.904761905,-0.19047619,2.619047619,-2.238095238,0.285714286,-3.428571429,2.857142857,-2,-1,-1,-4,-29,-5,-1,-12
82,7,8,2,1,1,2,1,1,2,-3,-1,-2,1,3,2,4,-8,2,-8,4,1,1,1,0.785714286,38.2132,2,1,1,2,1,1,0,0,0.142857143,1.285714286,-0.571428571,0.285714286,-2.428571429,1.857142857,-0.285714286,3.428571429,-2.857142857,2,1,1,8,-5,3,7,-3
83,15,4,7,5,4,3,1,0,4,-4,-2,0,0,6,1,5,-8,3,-9,0,2,1,0,0.666666667,48.1897,7,5,4,3,1,0,0,0,0.8,-1,0.6,-0.133333333,0.333333333,0.066666667,0.733333333,-2.333333333,0.133333333,6,2,2,7,0,-1,3,-1
84,3,2,7,5,4,3,1,0,4,-4,-2,0,0,-6,1,5,-8,-3,9,0,1,1,0,0.333333333,70.5288,7,5,4,3,1,0,0,0,0.333333333,-1.333333333,0.333333333,0.666666667,-0.666666667,0.666666667,-1.666666667,1.666666667,-0.666666667,-1,-1,0,-1,4,-1,0,-1
85,45,21,7,5,4,7,5,4,4,-4,-2,-4,4,2,1,5,-8,-1,-5,8,2,2,1,0.6,53.1301,7,5,4,7,5,4,1,0,4.155555556,-4.888888889,-0.911111111,-15.04444444,18.11111111,3.688888889,49,-59,-12,7,5,4,-32,-55,1,-3,-4
86,45,22,7,5,4,7,5,-4,4,-4,-2,4,-4,2,1,5,-8,-1,-5,-8,2,2,1,-0.6,126.87,7,5,4,7,5,4,1,0,0.288888889,0.444444444,-1.311111111,-0.155555556,-0.777777778,3.244444444,0.288888889,1.444444444,-6.311111111,5,-1,0,4,-5,3,-16,0
87,9,6,7,5,4,7,5,-4,4,-4,-2,-4,4,-2,1,5,-8,1,5,8,1,1,0,0.777777778,38.9424,7,5,4,7,5,4,0,0,-0.444444444,-0.555555556,1.222222222,0,0,2,-0.111111111,0.111111111,-2.444444444,-1,-1,0,4,5,-11,3,2
88,15,4,8,5,1,3,1,0,2,-4,4,0,0,6,4,-5,-7,3,-9,0,2,1,0,0.666666667,48.1897,8,5,1,3,1,0,0,0,0.2,0,1.4,-0.066666667,0.333333333,-0.133333333,-0.133333333,-0.333333333,0.733333333,6,2,2,19,-5,8,3,-2
